#Search query: infection
Year,Count
2025,3
2024,102940
2023,206651
2022,245333
2021,261361
2020,226505
2019,144431
2018,137597
2017,135841
2016,135162
2015,133716
2014,130943
2013,125058
2012,119651
2011,113538
2010,104017
2009,97723
2008,91815
2007,87819
2006,84606
2005,78670
2004,73038
2003,70256
2002,64710
2001,63798
2000,62100
1999,59221
1998,57518
1997,54976
1996,53150
1995,52100
1994,49333
1993,48889
1992,48038
1991,47144
1990,45994
1989,44533
1988,41806
1987,38500
1986,35665
1985,34273
1984,33113
1983,31664
1982,29587
1981,27544
1980,26318
1979,27396
1978,25868
1977,25097
1976,24748
1975,24894
1974,24288
1973,24761
1972,24158
1971,24210
1970,23402
1969,22906
1968,21897
1967,20026
1966,18310
1965,18779
1964,20735
1963,17674
1962,13973
1961,13852
1960,13217
1959,12616
1958,13526
1957,14271
1956,14200
1955,14544
1954,14955
1953,15452
1952,15592
1951,15218
1950,13590
1949,8855
1948,10200
1947,9799
1946,8877
1945,3507
1944,168
1943,98
1942,100
1941,109
1940,108
1939,114
1938,132
1937,112
1936,126
1935,85
1934,123
1933,92
1932,91
1931,129
1930,130
1929,83
1928,100
1927,110
1926,91
1925,110
1924,79
1923,93
1922,75
1921,87
1920,81
1919,72
1918,86
1917,88
1916,84
1915,66
1914,58
1913,52
1912,62
1911,69
1910,38
1909,37
1908,33
1907,35
1906,20
1905,30
1904,28
1903,25
1902,25
1901,26
1900,21
1899,32
1898,25
1897,23
1896,17
1895,21
1894,18
1893,17
1892,18
1891,13
1890,7
1889,5
1888,5
1887,5
1886,3
1885,1
1883,7
1882,5
1881,6
1880,6
1879,3
1878,9
1877,5
1876,5
1875,10
1874,3
1873,3
1872,1
1871,2
1870,1
1869,2
1868,2
1865,2
1859,1
1858,1
1856,1
1854,1
1850,1
1849,1
1848,1
1842,1
1838,1
1823,1
1817,1
1815,1
1811,2
1809,1
1802,1
1799,1
1790,1
