Entity	Code	Year	Deaths 	Births 	Projected
World	OWID_WRL	1950	48788536	92083256	no
World	OWID_WRL	1951	48514550	92836900	no
World	OWID_WRL	1952	47646612	97606690	no
World	OWID_WRL	1953	47499084	97555830	no
World	OWID_WRL	1954	47002804	100348056	no
World	OWID_WRL	1955	46966096	101807360	no
World	OWID_WRL	1956	46806576	101827180	no
World	OWID_WRL	1957	47269070	105977900	no
World	OWID_WRL	1958	46782736	104557390	no
World	OWID_WRL	1959	51327052	101921640	no
World	OWID_WRL	1960	54973676	102262440	no
World	OWID_WRL	1961	50003184	100989850	no
World	OWID_WRL	1962	46406404	112053310	no
World	OWID_WRL	1963	47279570	119818710	no
World	OWID_WRL	1964	47065424	117393300	no
World	OWID_WRL	1965	48459856	117932230	no
World	OWID_WRL	1966	48043572	117182360	no
World	OWID_WRL	1967	47915490	116839780	no
World	OWID_WRL	1968	47947976	121750024	no
World	OWID_WRL	1969	48234880	122122850	no
World	OWID_WRL	1970	48534130	124117180	no
World	OWID_WRL	1971	49683950	123647416	no
World	OWID_WRL	1972	47961810	123275040	no
World	OWID_WRL	1973	47680360	123269480	no
World	OWID_WRL	1974	47493920	122436990	no
World	OWID_WRL	1975	47592760	120491010	no
World	OWID_WRL	1976	47407650	120647816	no
World	OWID_WRL	1977	46745920	120040240	no
World	OWID_WRL	1978	46859944	121337100	no
World	OWID_WRL	1979	46913596	124287656	no
World	OWID_WRL	1980	47316612	126793220	no
World	OWID_WRL	1981	47388184	129152536	no
World	OWID_WRL	1982	47561960	132513064	no
World	OWID_WRL	1983	48133880	130982620	no
World	OWID_WRL	1984	48341284	133397030	no
World	OWID_WRL	1985	48685436	135419520	no
World	OWID_WRL	1986	48487100	138419620	no
World	OWID_WRL	1987	48634084	140544960	no
World	OWID_WRL	1988	49284176	139993380	no
World	OWID_WRL	1989	49064190	141176690	no
World	OWID_WRL	1990	49619696	142451000	no
World	OWID_WRL	1991	50082060	137391600	no
World	OWID_WRL	1992	50181616	135753660	no
World	OWID_WRL	1993	50769036	134692830	no
World	OWID_WRL	1994	51519240	134185340	no
World	OWID_WRL	1995	51355460	133673144	no
World	OWID_WRL	1996	51518770	133053000	no
World	OWID_WRL	1997	51459176	132597544	no
World	OWID_WRL	1998	51761764	132286770	no
World	OWID_WRL	1999	51996610	132364216	no
World	OWID_WRL	2000	52099820	134014030	no
World	OWID_WRL	2001	52095280	133877736	no
World	OWID_WRL	2002	52481444	134020456	no
World	OWID_WRL	2003	52858470	134302050	no
World	OWID_WRL	2004	52965050	135228140	no
World	OWID_WRL	2005	53213356	135800240	no
World	OWID_WRL	2006	53015852	136909890	no
World	OWID_WRL	2007	53391816	138562820	no
World	OWID_WRL	2008	54037660	140164400	no
World	OWID_WRL	2009	53910188	141200900	no
World	OWID_WRL	2010	54329196	141633310	no
World	OWID_WRL	2011	54393800	142134930	no
World	OWID_WRL	2012	54789780	144194060	no
World	OWID_WRL	2013	55034444	143421600	no
World	OWID_WRL	2014	55217576	143670860	no
World	OWID_WRL	2015	55893036	142608080	no
World	OWID_WRL	2016	56200612	143238910	no
World	OWID_WRL	2017	56965956	142624110	no
World	OWID_WRL	2018	57351676	139628720	no
World	OWID_WRL	2019	57938524	137984260	no
World	OWID_WRL	2020	63174308	135132600	no
World	OWID_WRL	2021	69248160	133974700	no
World	OWID_WRL	2022	67096572	133990590	yes
World	OWID_WRL	2023	60760148	134279620	yes
World	OWID_WRL	2024	60953908	134484560	yes
World	OWID_WRL	2025	61936810	134712130	yes
World	OWID_WRL	2026	62928940	134907060	yes
World	OWID_WRL	2027	63948976	135198370	yes
World	OWID_WRL	2028	65001670	135455620	yes
World	OWID_WRL	2029	66078556	135746900	yes
World	OWID_WRL	2030	67172550	136008960	yes
World	OWID_WRL	2031	68306260	136253580	yes
World	OWID_WRL	2032	69476760	136648880	yes
World	OWID_WRL	2033	70669150	136911070	yes
World	OWID_WRL	2034	71892120	137204270	yes
World	OWID_WRL	2035	73137320	137470560	yes
World	OWID_WRL	2036	74385600	137671800	yes
World	OWID_WRL	2037	75649200	138003120	yes
World	OWID_WRL	2038	76921970	138294350	yes
World	OWID_WRL	2039	78193560	138366560	yes
World	OWID_WRL	2040	79467010	138473460	yes
World	OWID_WRL	2041	80716504	138556580	yes
World	OWID_WRL	2042	81970110	138578260	yes
World	OWID_WRL	2043	83228150	138500160	yes
World	OWID_WRL	2044	84466900	138339660	yes
World	OWID_WRL	2045	85687870	138086260	yes
World	OWID_WRL	2046	86882940	137780000	yes
World	OWID_WRL	2047	88093656	137411800	yes
World	OWID_WRL	2048	89273650	136909710	yes
World	OWID_WRL	2049	90427750	136276050	yes
World	OWID_WRL	2050	91583400	135687400	yes
World	OWID_WRL	2051	92717680	134944960	yes
World	OWID_WRL	2052	93840430	134504580	yes
World	OWID_WRL	2053	94951860	133807380	yes
World	OWID_WRL	2054	96039360	133263980	yes
World	OWID_WRL	2055	97129640	132714690	yes
World	OWID_WRL	2056	98213900	132266800	yes
World	OWID_WRL	2057	99248800	131830890	yes
World	OWID_WRL	2058	100258830	131417750	yes
World	OWID_WRL	2059	101241330	130875450	yes
World	OWID_WRL	2060	102193336	130616050	yes
World	OWID_WRL	2061	103125540	130382680	yes
World	OWID_WRL	2062	104015830	130229110	yes
World	OWID_WRL	2063	104845176	129916030	yes
World	OWID_WRL	2064	105670744	129730584	yes
World	OWID_WRL	2065	106453860	129297700	yes
World	OWID_WRL	2066	107242104	129015560	yes
World	OWID_WRL	2067	108002440	128851430	yes
World	OWID_WRL	2068	108750970	128481560	yes
World	OWID_WRL	2069	109481870	128156280	yes
World	OWID_WRL	2070	110223480	127734030	yes
World	OWID_WRL	2071	110924890	127366760	yes
World	OWID_WRL	2072	111663280	127057660	yes
World	OWID_WRL	2073	112377620	126647680	yes
World	OWID_WRL	2074	113084910	126138550	yes
World	OWID_WRL	2075	113780020	125610370	yes
World	OWID_WRL	2076	114458990	125002270	yes
World	OWID_WRL	2077	115104264	124365480	yes
World	OWID_WRL	2078	115739560	123814990	yes
World	OWID_WRL	2079	116343496	123303520	yes
World	OWID_WRL	2080	116894090	122675816	yes
World	OWID_WRL	2081	117413700	122061910	yes
World	OWID_WRL	2082	117868320	121564290	yes
World	OWID_WRL	2083	118255830	120968160	yes
World	OWID_WRL	2084	118635080	120365880	yes
World	OWID_WRL	2085	118945000	119678780	yes
World	OWID_WRL	2086	119213384	118975340	yes
World	OWID_WRL	2087	119462820	118384840	yes
World	OWID_WRL	2088	119702450	117907736	yes
World	OWID_WRL	2089	119904920	117242150	yes
World	OWID_WRL	2090	120124130	116668120	yes
World	OWID_WRL	2091	120344590	116014030	yes
World	OWID_WRL	2092	120591500	115548650	yes
World	OWID_WRL	2093	120845110	114951656	yes
World	OWID_WRL	2094	121104536	114561350	yes
World	OWID_WRL	2095	121383336	113995190	yes
World	OWID_WRL	2096	121680890	113492904	yes
World	OWID_WRL	2097	121985850	112917950	yes
World	OWID_WRL	2098	122274470	112457150	yes
World	OWID_WRL	2099	122537590	112004380	yes
World	OWID_WRL	2100	122811670	111453740	yes
