Pais;Litros;;;
República Tcheca;11,9;;;
Letônia;11,6;;;
Áustria;11,6;;;
França;11,4;;;
Eslovênia;11,1;;;
Lituânia;11,1;;;
Luxemburgo;11;;;
Polônia;11;;;
Irlanda;10,8;;;
Espanha;10,7;;;
Hungria;10,7;;;
Alemanha;10,6;;;
Estônia;10,4;;;
Eslováquia;10,3;;;
Reino Unido;9,7;;;
Dinamarca;9,5;;;
Bélgica;9,2;;;
Estados Unidos;9;;;
Nova Zelândia;8,8;;;
Suíça;8,7;;;
Coréia;8,3;;;
Finlândia;8,2;;;
Países Baixos;8,2;;;
Canadá;8;;;
Itália;7,7;;;
Islândia;7,4;;;
Chile;7,1;;;
Suécia;7,1;;;
Japão;7,1;;;
Grécia;6,3;;;
Noruega;6,1;;;
México;4,9;;;
Colômbia;4,1;;;
Israel;3,1;;;
Costa Rica;3,1;;;
Turquia;1,3;;;
