Year;Coal;Oil;Natural gas;Biofuels;Nuclear;Hydro;Geothermal;Solar PV;Solar thermal;Wind;Tide;Other sources
1990;37.33244535;11.09745199;14.7307596;0.89067216;16.9649115;18.46515372;0.306993191;0.000758528;0.005587824;0.032700991;0.004517456;0.168047694
1991;37.37846615;10.83577189;14.62958398;0.597110575;17.35021028;18.68529057;0.308059324;0.000848648;0.006418418;0.034580357;0.004581053;0.16907875
1992;37.7282467;10.56245711;14.6241414;0.681384028;17.34652462;18.51757888;0.321031365;0.001021014;0.006093413;0.03788371;0.004541471;0.169096286
1993;37.62701122;9.825697412;14.71862553;0.68793242;17.47191057;19.12362476;0.320946859;0.001220361;0.007154663;0.044754531;0.004259298;0.166862376
1994;37.79799086;9.707492672;14.92489231;0.704046302;17.4611675;18.84293166;0.319663544;0.001331607;0.006416632;0.056932038;0.004212862;0.172922014
1995;37.5992598;9.207659316;15.1934465;0.721656051;17.55746882;19.1687324;0.300373172;0.001483231;0.006203973;0.059924053;0.004118414;0.179674279
1996;38.2050294;8.831430863;15.21925737;0.696617692;17.63462086;18.84643916;0.307760481;0.001663373;0.006587833;0.06896432;0.003866613;0.177762045
1997;38.25579709;8.646975897;16.0189248;0.722980924;17.0992091;18.68145868;0.302864015;0.001972078;0.006380672;0.086357008;0.00392272;0.173157018
1998;38.00739573;8.760578015;16.58886675;0.711888702;17.03441197;18.31184083;0.315922816;0.002452146;0.00617913;0.112018498;0.003908108;0.144537301
1999;37.83552956;8.291787101;17.50234399;0.726467089;17.14584823;17.86383297;0.32967339;0.004017598;0.003570445;0.146232438;0.003753372;0.146943817
2000;38.78490489;7.659253758;17.93105322;0.731188041;16.75941859;17.43924719;0.337507731;0.005020145;0.00340283;0.202837158;0.003532216;0.142634231
2001;38.61968166;7.299438867;18.74240788;0.723520202;16.9385746;16.93965988;0.33246083;0.007057512;0.003628293;0.24705145;0.003365001;0.143153828
2002;38.92391839;7.011700309;19.28720481;0.773844742;16.44355497;16.75274555;0.324016354;0.008398593;0.003516409;0.326797345;0.003293929;0.141008605
2003;40.01015897;6.809105566;19.54418289;0.804289177;15.70783831;16.24250721;0.320677363;0.0106811;0.003272279;0.38530636;0.003159031;0.158821751
2004;39.54541857;6.501411674;20.01298368;0.852617252;15.60145067;16.48967531;0.321680218;0.013852067;0.003350479;0.483192702;0.002894632;0.171472753
2005;40.00424663;6.15225451;20.21345517;0.927938932;15.1163199;16.48364473;0.319010239;0.020168193;0.003260333;0.569619012;0.002817977;0.187264373
2006;40.65320697;5.474547201;20.6021439;0.96822308;14.67196478;16.4173712;0.314687086;0.027851531;0.002896055;0.701712467;0.002575439;0.162820293
2007;41.27324799;5.414082662;21.28323285;1.016231995;13.69332378;15.94519989;0.315670249;0.036211989;0.00344948;0.863467859;0.00249269;0.153388568
2008;40.79154418;5.104803122;21.66530862;1.075856803;13.50433556;16.2404779;0.322147314;0.057494189;0.004437073;1.096881019;0.002406297;0.134307928
2009;40.18818973;4.767099974;21.96136244;1.195353711;13.36871607;16.55709948;0.334269841;0.098057115;0.004581552;1.380261979;0.002409777;0.142598329
2010;40.26771769;4.471045308;22.54471452;1.278287113;12.79604653;16.41599296;0.316362655;0.148578332;0.0076369;1.588674881;0.002376956;0.162566162
2011;41.20932913;4.73465858;22.1938249;1.317676157;11.62405582;16.1763402;0.314028402;0.28655975;0.012876915;1.968745778;0.002295431;0.159608938
2012;40.45295243;4.972225881;22.57917268;1.408224693;10.81934036;16.53246449;0.311640064;0.434829931;0.020870992;2.311570142;0.00217681;0.154531536
2013;41.15458598;4.619570867;21.67377642;1.505413545;10.58364291;16.60523732;0.308816681;0.595707065;0.025042767;2.767400806;0.003944684;0.15686096
2014;40.983245;4.406760744;21.58323968;1.603083967;10.56646701;16.56383403;0.321511153;0.769457966;0.03510342;3.010442299;0.004155065;0.152699669
2015;39.28843796;4.215272538;22.8633997;1.684121945;10.58207311;16.39290587;0.335088482;1.008365869;0.039556112;3.433912718;0.004133896;0.152731801
2016;38.36719522;3.780546294;23.36922775;1.790020151;10.44349984;16.58060312;0.333187715;1.285718295;0.041979778;3.855793596;0.004107892;0.148120353
2017;38.67075058;3.288813849;23.03157636;1.84689234;10.24923908;16.28900389;0.338707543;1.679035451;0.042379267;4.412416519;0.004012422;0.147172696
2018;38.16624373;2.880316104;23.23416356;1.900892275;10.17475852;16.20728265;0.336675298;2.082544151;0.042413982;4.793993041;0.003774555;0.176942133
2019;36.91210117;2.685810461;23.52430427;2.001471325;10.34671156;16.11624969;0.34153544;2.53736887;0.051668458;5.299256157;0.003708351;0.179814243
2020;35.39314892;2.485274877;23.7092623;2.139839432;10.00216752;16.66216097;0.35630668;3.085726543;0.052233499;5.982019299;0.003699733;0.128160235
2021;36.09407986;2.544382896;23.08176029;2.181870286;9.88605625;15.52898532;0.336270571;3.592483736;0.051512411;6.562505886;0.003436038;0.136656457
