"iso","adm1","umd_tree_cover_extent_2000__ha","area__ha"
"BRA",1,14379380.43923840472197608,15273529.70714355296998914
"BRA",2,582993.10672836713721886,2775821.38617294622007945
"BRA",3,12186407.46098669552061843,14221802.99267605215242210
"BRA",4,150649443.67459274620955645,156639183.83345625608006608
"BRA",5,18922444.05099734054249259,56331365.62175988104800021
"BRA",6,2987998.94263724966936537,14881135.02399539574943115
"BRA",7,57625.59819429848611783,580299.09449137978994485
"BRA",8,1836297.43575968846093942,4375195.72197685585173960
"BRA",9,7810470.81349192923409662,34037005.11939450954441594
"BRA",10,21099689.43775429070384762,33029284.05715724928669129
"BRA",11,10310219.90255062055074697,35703986.09352325784000578
"BRA",12,57064556.61066114670598172,90462712.23853033257536653
"BRA",13,18515012.33181525233210569,58899332.85485284179213092
"BRA",14,108625086.48604081246923291,124836729.77375255072065150
"BRA",15,1134711.74470708826640378,5638303.37509058845136534
"BRA",16,7996978.95020435371933931,19915972.05804173866290809
"BRA",17,1576019.73248237919392953,9822549.27235666366229005
"BRA",18,11562704.00843573730319243,25110053.78922415832449273
"BRA",19,1809568.80923735595942372,4368756.77521203199745294
"BRA",20,918779.76860467500392780,5324734.17422269222222742
"BRA",21,7662008.99982325133424036,27142234.95534539437125361
"BRA",22,18754547.57985240202853058,23637739.64753756759786393
"BRA",23,17946583.63093907927520912,22438018.49166341063539115
"BRA",24,6389708.90898965337432760,9863943.96473884531140041
"BRA",25,6617243.37418351029695301,24760752.51526930212626500
"BRA",26,553244.38491411238746224,2202799.44267946674338701
"BRA",27,11237782.26188528562944342,27762407.75912887590997872
