Ano Diagnóstico	RO	AC	AM	RR	PA	AP	TO	MA	PI	CE	RN	PB	PE	AL	SE	BA	MG	ES	RJ	SP	PR	SC	RS	MS	MT	GO	DF
2003	1572	465	1315	373	7053	245	1409	5768	2070	3342	287	1030	4155	599	665	3630	3613	1914	3519	3521	1990	293	266	788	4335	4029	384
2004	1490	364	1251	345	6892	217	1486	6118	1932	3019	362	1002	3895	498	641	4450	3450	1697	3299	3225	2120	291	265	793	3920	3999	325
2005	1412	395	1136	315	6357	196	1469	6480	2017	3022	536	1135	3858	526	754	4148	3262	1662	2987	3011	1895	266	268	689	4196	3762	320
2006	1519	604	983	311	5764	219	1569	5502	1780	2673	355	1058	3794	499	627	3597	2789	1334	2845	2639	1780	262	259	689	3697	3600	310
2007	1362	313	917	265	5360	156	1518	5176	1714	2847	424	944	3525	477	646	3456	2454	1335	2530	2628	1571	263	230	665	3521	3149	303
2008	1247	300	960	230	5609	229	1672	5265	2224	2886	329	878	3240	487	535	3392	2178	1250	2387	2626	1556	255	228	737	3204	3312	293
2009	1226	290	891	185	5121	231	1405	4839	1573	2541	360	877	3690	481	602	3357	2083	1214	2302	2344	1371	228	200	791	3219	3155	284
2010	1067	275	879	171	4552	168	1316	4961	1854	2480	303	768	3256	446	494	3258	1819	1114	2141	2205	1246	256	197	837	3179	2997	259
2011	996	261	744	141	4761	196	1259	4748	1369	2289	299	867	3231	466	514	3215	1783	1125	2083	2191	1211	282	194	936	3294	2680	247
2012	936	203	810	186	4816	168	1219	4801	1291	2453	370	835	3072	531	548	3092	1710	889	1823	2074	1202	250	180	1081	3227	2640	245
2013	856	162	835	157	4119	153	1104	4719	1255	2427	322	774	3213	396	458	2706	1468	834	1540	1964	1065	197	192	980	3608	2347	238
2014	824	154	701	96	4196	160	1268	4548	1351	2340	316	709	3154	391	481	3222	1454	704	1474	1889	929	196	175	1299	3747	2287	363
2015	705	144	631	116	3861	137	1084	4477	1262	2152	307	641	2848	407	439	3075	1391	689	1381	1671	933	205	165	920	3872	2119	294
2016	566	137	568	111	3244	108	1734	4268	1119	2024	225	550	2426	327	373	2544	1369	509	1112	1759	744	195	153	566	3478	1787	233
2017	630	160	554	196	3412	131	1689	4151	1333	1858	296	590	3191	392	452	2855	1403	567	1182	1596	774	166	173	553	4428	1744	212
2018	862	154	525	139	3489	144	2203	4190	1292	2085	302	640	3044	449	413	2735	1411	551	1174	1619	733	169	155	511	5828	1790	203
2019	621	130	519	120	3492	147	1953	4208	1125	1920	221	744	3348	374	383	2754	1486	624	1118	1583	727	216	118	645	5622	1765	262
2020	447	99	308	59	2173	83	1130	2582	700	1431	229	456	2111	280	298	1803	1025	358	716	1258	495	162	83	362	3349	1162	292
2021	480	134	435	83	2237	59	1095	2666	882	1521	237	502	2212	329	318	2019	1190	390	821	1450	541	184	126	363	2897	1153	202
2022	467	172	459	70	2026	77	1069	2994	924	1465	209	525	2445	324	304	2170	1339	454	778	1388	501	204	125	362	3415	1172	209
2023	154	40	101	16	592	23	285	809	234	245	53	162	549	75	97	482	384	224	177	269	148	66	29	72	1133	265	44
